Day,District,timeSlot,orderNum_valid,price_valid,orderNum_invalid,price_invalid
22,1,1,0,0.0,0,0.0
22,1,2,0,0.0,0,0.0
22,1,3,0,0.0,0,0.0
22,1,4,0,0.0,0,0.0
22,1,5,0,0.0,0,0.0
22,1,6,0,0.0,0,0.0
22,1,7,0,0.0,0,0.0
22,1,8,0,0.0,0,0.0
22,1,9,0,0.0,0,0.0
22,1,10,0,0.0,0,0.0
22,1,11,0,0.0,0,0.0
22,1,12,0,0.0,0,0.0
22,1,13,0,0.0,0,0.0
22,1,14,0,0.0,0,0.0
22,1,15,0,0.0,0,0.0
22,1,16,0,0.0,0,0.0
22,1,17,0,0.0,0,0.0
22,1,18,0,0.0,0,0.0
22,1,19,0,0.0,0,0.0
22,1,20,0,0.0,0,0.0
22,1,21,0,0.0,0,0.0
22,1,22,0,0.0,0,0.0
22,1,23,0,0.0,0,0.0
22,1,24,0,0.0,0,0.0
22,1,25,0,0.0,0,0.0
22,1,26,0,0.0,0,0.0
22,1,27,0,0.0,0,0.0
22,1,28,0,0.0,0,0.0
22,1,29,0,0.0,0,0.0
22,1,30,0,0.0,0,0.0
22,1,31,0,0.0,0,0.0
22,1,32,0,0.0,0,0.0
22,1,33,0,0.0,0,0.0
22,1,34,0,0.0,0,0.0
22,1,35,0,0.0,0,0.0
22,1,36,0,0.0,0,0.0
22,1,37,0,0.0,0,0.0
22,1,38,0,0.0,0,0.0
22,1,39,0,0.0,0,0.0
22,1,40,0,0.0,0,0.0
22,1,41,0,0.0,0,0.0
22,1,42,0,0.0,0,0.0
22,1,43,70,14.7643,4,46.9
22,1,44,127,12.1732,1,6.0
22,1,45,170,12.3718,5,29.22
22,1,46,0,0.0,0,0.0
22,1,47,0,0.0,0,0.0
22,1,48,0,0.0,0,0.0
22,1,49,0,0.0,0,0.0
22,1,50,0,0.0,0,0.0
22,1,51,0,0.0,0,0.0
22,1,52,0,0.0,0,0.0
22,1,53,0,0.0,0,0.0
22,1,54,0,0.0,0,0.0
22,1,55,266,12.7237,3,26.3333
22,1,56,234,10.9299,1,4.0
22,1,57,199,12.9824,11,25.8909
22,1,58,0,0.0,0,0.0
22,1,59,0,0.0,0,0.0
22,1,60,0,0.0,0,0.0
22,1,61,0,0.0,0,0.0
22,1,62,0,0.0,0,0.0
22,1,63,0,0.0,0,0.0
22,1,64,0,0.0,0,0.0
22,1,65,0,0.0,0,0.0
22,1,66,0,0.0,0,0.0
22,1,67,158,11.6165,2,12.1
22,1,68,152,12.9507,6,9.5667
22,1,69,168,11.5982,1,53.0
22,1,70,0,0.0,0,0.0
22,1,71,0,0.0,0,0.0
22,1,72,0,0.0,0,0.0
22,1,73,0,0.0,0,0.0
22,1,74,0,0.0,0,0.0
22,1,75,0,0.0,0,0.0
22,1,76,0,0.0,0,0.0
22,1,77,0,0.0,0,0.0
22,1,78,0,0.0,0,0.0
22,1,79,171,10.4199,1,53.1
22,1,80,188,12.3495,3,25.2
22,1,81,168,12.9232,5,25.28
22,1,82,0,0.0,0,0.0
22,1,83,0,0.0,0,0.0
22,1,84,0,0.0,0,0.0
22,1,85,0,0.0,0,0.0
22,1,86,0,0.0,0,0.0
22,1,87,0,0.0,0,0.0
22,1,88,0,0.0,0,0.0
22,1,89,0,0.0,0,0.0
22,1,90,0,0.0,0,0.0
22,1,91,158,11.1449,7,38.8857
22,1,92,162,10.213,2,10.5
22,1,93,171,13.4053,3,21.4333
22,1,94,0,0.0,0,0.0
22,1,95,0,0.0,0,0.0
22,1,96,0,0.0,0,0.0
22,1,97,0,0.0,0,0.0
22,1,98,0,0.0,0,0.0
22,1,99,0,0.0,0,0.0
22,1,100,0,0.0,0,0.0
22,1,101,0,0.0,0,0.0
22,1,102,0,0.0,0,0.0
22,1,103,338,12.9837,7,14.6714
22,1,104,266,11.618,17,28.1235
22,1,105,254,13.4685,3,23.3
22,1,106,0,0.0,0,0.0
22,1,107,0,0.0,0,0.0
22,1,108,0,0.0,0,0.0
22,1,109,0,0.0,0,0.0
22,1,110,0,0.0,0,0.0
22,1,111,0,0.0,0,0.0
22,1,112,0,0.0,0,0.0
22,1,113,0,0.0,0,0.0
22,1,114,0,0.0,0,0.0
22,1,115,235,10.3579,6,9.1667
22,1,116,222,10.2311,3,5.0
22,1,117,241,12.495,7,4.5571
22,1,118,0,0.0,0,0.0
22,1,119,0,0.0,0,0.0
22,1,120,0,0.0,0,0.0
22,1,121,0,0.0,0,0.0
22,1,122,0,0.0,0,0.0
22,1,123,0,0.0,0,0.0
22,1,124,0,0.0,0,0.0
22,1,125,0,0.0,0,0.0
22,1,126,0,0.0,0,0.0
22,1,127,276,12.1138,11,23.4273
22,1,128,257,11.9549,12,16.55
22,1,129,225,11.7929,8,10.4875
22,1,130,0,0.0,0,0.0
22,1,131,0,0.0,0,0.0
22,1,132,0,0.0,0,0.0
22,1,133,0,0.0,0,0.0
22,1,134,0,0.0,0,0.0
22,1,135,0,0.0,0,0.0
22,1,136,0,0.0,0,0.0
22,1,137,0,0.0,0,0.0
22,1,138,0,0.0,0,0.0
22,1,139,116,13.569,6,14.0
22,1,140,112,14.4732,7,9.1429
22,1,141,112,16.6696,12,25.25
22,1,142,0,0.0,0,0.0
22,1,143,0,0.0,0,0.0
22,1,144,0,0.0,0,0.0
22,2,1,0,0.0,0,0.0
22,2,2,0,0.0,0,0.0
22,2,3,0,0.0,0,0.0
22,2,4,0,0.0,0,0.0
22,2,5,0,0.0,0,0.0
22,2,6,0,0.0,0,0.0
22,2,7,0,0.0,0,0.0
22,2,8,0,0.0,0,0.0
22,2,9,0,0.0,0,0.0
22,2,10,0,0.0,0,0.0
22,2,11,0,0.0,0,0.0
22,2,12,0,0.0,0,0.0
22,2,13,0,0.0,0,0.0
22,2,14,0,0.0,0,0.0
22,2,15,0,0.0,0,0.0
22,2,16,0,0.0,0,0.0
22,2,17,0,0.0,0,0.0
22,2,18,0,0.0,0,0.0
22,2,19,0,0.0,0,0.0
22,2,20,0,0.0,0,0.0
22,2,21,0,0.0,0,0.0
22,2,22,0,0.0,0,0.0
22,2,23,0,0.0,0,0.0
22,2,24,0,0.0,0,0.0
22,2,25,0,0.0,0,0.0
22,2,26,0,0.0,0,0.0
22,2,27,0,0.0,0,0.0
22,2,28,0,0.0,0,0.0
22,2,29,0,0.0,0,0.0
22,2,30,0,0.0,0,0.0
22,2,31,0,0.0,0,0.0
22,2,32,0,0.0,0,0.0
22,2,33,0,0.0,0,0.0
