District	timeSlot	orderNum_valid	price_valid	orderNum_invalid	price_invalid
08232402614a9b48895cc3d0aeb0e9f2	1	0		0	
08232402614a9b48895cc3d0aeb0e9f2	2	1	12.0	0	
08232402614a9b48895cc3d0aeb0e9f2	3	1	49.0	0	
08232402614a9b48895cc3d0aeb0e9f2	4	1	14.0	0	
08232402614a9b48895cc3d0aeb0e9f2	5	2	29.0	0	
08232402614a9b48895cc3d0aeb0e9f2	6	0		0	
08232402614a9b48895cc3d0aeb0e9f2	7	0		0	
08232402614a9b48895cc3d0aeb0e9f2	8	0		0	
08232402614a9b48895cc3d0aeb0e9f2	9	0		0	
08232402614a9b48895cc3d0aeb0e9f2	10	0		2	124.0
08232402614a9b48895cc3d0aeb0e9f2	11	0		0	
08232402614a9b48895cc3d0aeb0e9f2	12	0		0	
08232402614a9b48895cc3d0aeb0e9f2	13	0		0	
08232402614a9b48895cc3d0aeb0e9f2	14	0		0	
08232402614a9b48895cc3d0aeb0e9f2	15	0		0	
08232402614a9b48895cc3d0aeb0e9f2	16	0		0	
08232402614a9b48895cc3d0aeb0e9f2	17	0		0	
08232402614a9b48895cc3d0aeb0e9f2	18	0		0	
08232402614a9b48895cc3d0aeb0e9f2	19	0		0	
08232402614a9b48895cc3d0aeb0e9f2	20	0		0	
08232402614a9b48895cc3d0aeb0e9f2	21	0		0	
08232402614a9b48895cc3d0aeb0e9f2	22	0		0	
08232402614a9b48895cc3d0aeb0e9f2	23	0		0	
08232402614a9b48895cc3d0aeb0e9f2	24	0		0	
08232402614a9b48895cc3d0aeb0e9f2	25	0		0	
08232402614a9b48895cc3d0aeb0e9f2	26	0		0	
08232402614a9b48895cc3d0aeb0e9f2	27	0		0	
08232402614a9b48895cc3d0aeb0e9f2	28	0		0	
08232402614a9b48895cc3d0aeb0e9f2	29	0		0	
08232402614a9b48895cc3d0aeb0e9f2	30	0		0	
08232402614a9b48895cc3d0aeb0e9f2	31	0		0	
08232402614a9b48895cc3d0aeb0e9f2	32	0		0	
08232402614a9b48895cc3d0aeb0e9f2	33	0		0	
08232402614a9b48895cc3d0aeb0e9f2	34	0		0	
08232402614a9b48895cc3d0aeb0e9f2	35	0		0	
08232402614a9b48895cc3d0aeb0e9f2	36	0		0	
08232402614a9b48895cc3d0aeb0e9f2	37	0		0	
08232402614a9b48895cc3d0aeb0e9f2	38	0		0	
08232402614a9b48895cc3d0aeb0e9f2	39	0		0	
08232402614a9b48895cc3d0aeb0e9f2	40	0		0	
08232402614a9b48895cc3d0aeb0e9f2	41	1	45.0	0	
08232402614a9b48895cc3d0aeb0e9f2	42	0		0	
08232402614a9b48895cc3d0aeb0e9f2	43	0		0	
08232402614a9b48895cc3d0aeb0e9f2	44	4	21.0	0	
08232402614a9b48895cc3d0aeb0e9f2	45	3	44.3333333333	0	
08232402614a9b48895cc3d0aeb0e9f2	46	2	15.0	0	
08232402614a9b48895cc3d0aeb0e9f2	47	4	22.0	0	
08232402614a9b48895cc3d0aeb0e9f2	48	3	25.3333333333	0	
08232402614a9b48895cc3d0aeb0e9f2	49	6	13.5	1	19.0
08232402614a9b48895cc3d0aeb0e9f2	50	0		1	22.0
08232402614a9b48895cc3d0aeb0e9f2	51	3	55.0	0	
08232402614a9b48895cc3d0aeb0e9f2	52	2	14.5	2	17.0
08232402614a9b48895cc3d0aeb0e9f2	53	2	12.5	3	13.0
08232402614a9b48895cc3d0aeb0e9f2	54	2	24.5	0	
08232402614a9b48895cc3d0aeb0e9f2	55	1	69.0	0	
08232402614a9b48895cc3d0aeb0e9f2	56	2	26.5	0	
08232402614a9b48895cc3d0aeb0e9f2	57	1	20.0	0	
08232402614a9b48895cc3d0aeb0e9f2	58	2	7.5	2	28.0
08232402614a9b48895cc3d0aeb0e9f2	59	1	12.0	2	12.0
08232402614a9b48895cc3d0aeb0e9f2	60	0		1	7.0
08232402614a9b48895cc3d0aeb0e9f2	61	1	69.0	0	
08232402614a9b48895cc3d0aeb0e9f2	62	0		0	
08232402614a9b48895cc3d0aeb0e9f2	63	0		0	
08232402614a9b48895cc3d0aeb0e9f2	64	0		0	
08232402614a9b48895cc3d0aeb0e9f2	65	1	18.0	0	
08232402614a9b48895cc3d0aeb0e9f2	66	1	65.0	0	
08232402614a9b48895cc3d0aeb0e9f2	67	0		0	
08232402614a9b48895cc3d0aeb0e9f2	68	1	71.0	0	
08232402614a9b48895cc3d0aeb0e9f2	69	0		0	
08232402614a9b48895cc3d0aeb0e9f2	70	2	28.5	0	
08232402614a9b48895cc3d0aeb0e9f2	71	1	26.0	0	
08232402614a9b48895cc3d0aeb0e9f2	72	0		0	
08232402614a9b48895cc3d0aeb0e9f2	73	1	35.0	0	
08232402614a9b48895cc3d0aeb0e9f2	74	2	39.0	0	
08232402614a9b48895cc3d0aeb0e9f2	75	2	35.5	0	
08232402614a9b48895cc3d0aeb0e9f2	76	1	41.0	0	
08232402614a9b48895cc3d0aeb0e9f2	77	2	27.5	0	
08232402614a9b48895cc3d0aeb0e9f2	78	0		0	
08232402614a9b48895cc3d0aeb0e9f2	79	0		0	
08232402614a9b48895cc3d0aeb0e9f2	80	2	16.5	2	56.0
08232402614a9b48895cc3d0aeb0e9f2	81	1	53.0	7	67.7142857143
08232402614a9b48895cc3d0aeb0e9f2	82	2	19.0	0	
08232402614a9b48895cc3d0aeb0e9f2	83	0		0	
08232402614a9b48895cc3d0aeb0e9f2	84	1	64.0	2	76.0
08232402614a9b48895cc3d0aeb0e9f2	85	0		2	36.5
08232402614a9b48895cc3d0aeb0e9f2	86	1	30.0	1	59.0
08232402614a9b48895cc3d0aeb0e9f2	87	2	30.0	0	
08232402614a9b48895cc3d0aeb0e9f2	88	0		0	
08232402614a9b48895cc3d0aeb0e9f2	89	0		1	16.0
08232402614a9b48895cc3d0aeb0e9f2	90	0		0	
08232402614a9b48895cc3d0aeb0e9f2	91	0		0	
08232402614a9b48895cc3d0aeb0e9f2	92	0		0	
08232402614a9b48895cc3d0aeb0e9f2	93	2	18.5	2	76.5
08232402614a9b48895cc3d0aeb0e9f2	94	1	16.0	0	
08232402614a9b48895cc3d0aeb0e9f2	95	1	25.0	0	
08232402614a9b48895cc3d0aeb0e9f2	96	3	11.3333333333	1	69.0
08232402614a9b48895cc3d0aeb0e9f2	97	2	22.5	0	
08232402614a9b48895cc3d0aeb0e9f2	98	1	59.0	0	
08232402614a9b48895cc3d0aeb0e9f2	99	2	36.0	1	43.0
08232402614a9b48895cc3d0aeb0e9f2	100	1	8.0	0	
08232402614a9b48895cc3d0aeb0e9f2	101	0		1	71.0
08232402614a9b48895cc3d0aeb0e9f2	102	2	9.5	0	
08232402614a9b48895cc3d0aeb0e9f2	103	1	87.0	0	
08232402614a9b48895cc3d0aeb0e9f2	104	1	16.0	0	
08232402614a9b48895cc3d0aeb0e9f2	105	0		0	
08232402614a9b48895cc3d0aeb0e9f2	106	2	24.5	0	
08232402614a9b48895cc3d0aeb0e9f2	107	0		0	
08232402614a9b48895cc3d0aeb0e9f2	108	1	28.0	0	
08232402614a9b48895cc3d0aeb0e9f2	109	2	12.0	0	
08232402614a9b48895cc3d0aeb0e9f2	110	4	24.75	0	
08232402614a9b48895cc3d0aeb0e9f2	111	1	20.0	0	
08232402614a9b48895cc3d0aeb0e9f2	112	0		0	
08232402614a9b48895cc3d0aeb0e9f2	113	1	36.0	0	
08232402614a9b48895cc3d0aeb0e9f2	114	1	17.0	0	
08232402614a9b48895cc3d0aeb0e9f2	115	0		0	
08232402614a9b48895cc3d0aeb0e9f2	116	3	50.6666666667	0	
08232402614a9b48895cc3d0aeb0e9f2	117	1	11.0	0	
08232402614a9b48895cc3d0aeb0e9f2	118	4	16.25	1	131.0
08232402614a9b48895cc3d0aeb0e9f2	119	1	53.0	0	
08232402614a9b48895cc3d0aeb0e9f2	120	1	17.0	0	
08232402614a9b48895cc3d0aeb0e9f2	121	0		0	
08232402614a9b48895cc3d0aeb0e9f2	122	1	17.0	1	56.0
08232402614a9b48895cc3d0aeb0e9f2	123	1	23.0	0	
08232402614a9b48895cc3d0aeb0e9f2	124	4	17.75	2	33.0
08232402614a9b48895cc3d0aeb0e9f2	125	2	25.0	0	
08232402614a9b48895cc3d0aeb0e9f2	126	0		0	
08232402614a9b48895cc3d0aeb0e9f2	127	0		0	
08232402614a9b48895cc3d0aeb0e9f2	128	2	42.5	0	
08232402614a9b48895cc3d0aeb0e9f2	129	0		0	
08232402614a9b48895cc3d0aeb0e9f2	130	2	7.0	0	
08232402614a9b48895cc3d0aeb0e9f2	131	0		0	
08232402614a9b48895cc3d0aeb0e9f2	132	1	31.0	0	
08232402614a9b48895cc3d0aeb0e9f2	133	4	26.0	1	37.0
08232402614a9b48895cc3d0aeb0e9f2	134	0		0	
08232402614a9b48895cc3d0aeb0e9f2	135	1	4.0	0	
08232402614a9b48895cc3d0aeb0e9f2	136	2	34.0	0	
08232402614a9b48895cc3d0aeb0e9f2	137	0		0	
08232402614a9b48895cc3d0aeb0e9f2	138	0		0	
08232402614a9b48895cc3d0aeb0e9f2	139	0		1	93.0
08232402614a9b48895cc3d0aeb0e9f2	140	1	32.0	0	
08232402614a9b48895cc3d0aeb0e9f2	141	0		0	
08232402614a9b48895cc3d0aeb0e9f2	142	0		0	
08232402614a9b48895cc3d0aeb0e9f2	143	1	10.0	0	
08232402614a9b48895cc3d0aeb0e9f2	144	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	1	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	2	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	3	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	4	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	5	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	6	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	7	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	8	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	9	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	10	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	11	0		1	20.0
08f5b445ec6b29deba62e6fd8b0325a6	12	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	13	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	14	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	15	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	16	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	17	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	18	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	19	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	20	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	21	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	22	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	23	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	24	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	25	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	26	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	27	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	28	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	29	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	30	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	31	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	32	0		0	
08f5b445ec6b29deba62e6fd8b0325a6	33	0		0	
